path_id,call_id,node_id,dtmf_input,timestamp
1,3375064,1,2,2025-04-01T02:30:54
2,3375084,1,1,2025-04-01T13:21:15
3,3375084,3,1,2025-04-01T13:21:19
4,3375216,1,1,2025-04-01T06:49:48
5,3375216,3,2,2025-04-01T06:49:52
6,3375281,1,1,2025-04-01T02:11:03
7,3375281,2,1,2025-04-01T02:11:07
8,3375321,1,1,2025-04-01T04:37:55
9,3375339,1,2,2025-04-01T08:15:52
10,3375359,1,1,2025-04-01T02:37:09
11,3375369,1,2,2025-04-01T19:05:27
12,3375451,1,2,2025-04-01T14:41:57
13,3375451,3,1,2025-04-01T14:42:01
14,3375455,1,2,2025-04-01T18:33:03
15,3375455,3,2,2025-04-01T18:33:07
16,3375522,1,1,2025-04-01T14:33:08
17,3375522,2,2,2025-04-01T14:33:12
18,3375523,1,2,2025-04-01T20:30:11
19,3375526,1,2,2025-04-01T17:19:12
20,3375580,1,1,2025-04-01T05:13:48
21,3375580,3,1,2025-04-01T05:13:52
22,3375592,1,2,2025-04-01T22:15:49
23,3375592,2,2,2025-04-01T22:15:53
24,3375622,1,2,2025-04-01T19:19:08
25,3375622,2,2,2025-04-01T19:19:12
26,3375683,1,1,2025-04-01T14:33:12
27,3375683,2,1,2025-04-01T14:33:16
28,3375715,1,2,2025-04-01T10:33:01
29,3375819,1,1,2025-04-01T09:03:40
30,3375819,2,1,2025-04-01T09:03:44
31,3375855,1,1,2025-04-01T18:39:22
32,3375855,2,1,2025-04-01T18:39:26
33,3375862,1,2,2025-04-01T13:28:15
34,3375862,3,1,2025-04-01T13:28:19
35,3375916,1,1,2025-04-01T17:47:03
36,3375936,1,2,2025-04-01T04:04:45
37,3375936,3,2,2025-04-01T04:04:49
38,3375947,1,1,2025-04-01T07:50:10
39,3376048,1,2,2025-04-01T10:35:50
40,3376126,1,1,2025-04-01T19:51:55
41,3376126,3,2,2025-04-01T19:51:59
42,3376145,1,2,2025-04-01T23:49:28
43,3376145,2,1,2025-04-01T23:49:32
44,3376162,1,1,2025-04-01T17:15:55
45,3376332,1,2,2025-04-01T22:47:17
46,3376332,3,1,2025-04-01T22:47:21
47,3376417,1,1,2025-04-01T15:29:26
48,3376417,3,1,2025-04-01T15:29:30
49,3376441,1,2,2025-04-01T18:39:55
50,3376441,3,2,2025-04-01T18:39:59
51,3376600,1,2,2025-04-01T17:10:30
52,3376661,1,1,2025-04-01T13:51:53
53,3376725,1,2,2025-04-01T19:57:19
54,3376725,3,2,2025-04-01T19:57:23
55,3376797,1,2,2025-04-01T10:45:28
56,3376825,1,1,2025-04-01T08:40:25
57,3376875,1,1,2025-04-01T14:32:16
58,3376875,2,1,2025-04-01T14:32:20
59,3376957,1,2,2025-04-01T13:17:00
60,3376994,1,1,2025-04-01T21:26:16
